Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location
641,Square Picnic Table,Wood,Aggregate,176 AVENUE NW,3190,ELSINORE,WARD 03,53.6408545629433,-113.505761211616,"(53.6408545629433, -113.505761211616)"
193,Square Picnic Table,Wood,Metal,124 AVENUE NW,1080,DELTON,WARD 07,53.5796406266635,-113.489260575979,"(53.5796406266635, -113.489260575979)"
135,Square Picnic Table,Wood,Aggregate,115 STREET NW,5050,BLACKMUD CREEK RAVINE,WARD 10,53.4473809812374,-113.530409991418,"(53.4473809812374, -113.530409991418)"
435,Square Picnic Table,Wood,Metal,6 AVENUE SW,6211,ELLERSLIE,WARD 12,53.4274553881341,-113.4484748723,"(53.4274553881341, -113.4484748723)"
97,Square Picnic Table,Wood,Aggregate,OGILVIE BOULEVARD NW,5300,OGILVIE RIDGE,WARD 09,53.46304593296,-113.56208188078,"(53.46304593296, -113.56208188078)"
856,Square Picnic Table,Wood,Wood,66 AVENUE NW,5401,RIVER VALLEY FORT EDMONTON,WARD 09,53.5024788197463,-113.572654109282,"(53.5024788197463, -113.572654109282)"
109,Square Picnic Table,Wood,Aggregate,136 AVENUE NW,3430,WELLINGTON,WARD 02,53.596760702033,-113.550391965776,"(53.596760702033, -113.550391965776)"
314,Square Picnic Table,Wood,Metal,23 STREET NW,2030,BANNERMAN,WARD 04,53.6039712211972,-113.378755862445,"(53.6039712211972, -113.378755862445)"
782,Square Picnic Table,Wood,Metal,34 STREET NW,2660,RUNDLE HEIGHTS,WARD 07,53.5620934142024,-113.392427126925,"(53.5620934142024, -113.392427126925)"
283,Square Picnic Table,Unknown,Unknown,MILL WOODS ROAD EAST NW,6580,POLLARD MEADOWS,WARD 12,53.4479742941954,-113.406060355545,"(53.4479742941954, -113.406060355545)"
165,Square Picnic Table,Wood,Aggregate,32A AVENUE NW,5470,STEINHAUER,WARD 10,53.4645064904566,-113.504811861844,"(53.4645064904566, -113.504811861844)"
83,Square Picnic Table,Wood,Aggregate,43 AVENUE NW,5340,RAMSAY HEIGHTS,WARD 09,53.4810851611945,-113.581310126403,"(53.4810851611945, -113.581310126403)"
147,Square Picnic Table,Wood,Metal,113 STREET NW,1170,PRINCE RUPERT,WARD 02,53.5617037285043,-113.514514871046,"(53.5617037285043, -113.514514871046)"
426,Square Picnic Table,Composite,Metal,MACEWAN ROAD SW,5452,MACEWAN,WARD 09,53.4292782179797,-113.530566406464,"(53.4292782179797, -113.530566406464)"
301,Square Picnic Table,Wood,Aggregate,KIRKNESS ROAD NW,2430,KIRKNESS,WARD 04,53.612192618405,-113.385359930669,"(53.612192618405, -113.385359930669)"
286,Square Picnic Table,Wood,Aggregate,105 AVENUE NW,6270,GOLD BAR,WARD 08,53.5484536250726,-113.413624309014,"(53.5484536250726, -113.413624309014)"
141,Square Picnic Table,Wood,Metal,102 AVENUE NW,1150,OLIVER,WARD 06,53.5436460176321,-113.531575813036,"(53.5436460176321, -113.531575813036)"
186,Square Picnic Table,Wood,Aggregate,95 STREET NW,2450,LAGO LINDO,WARD 03,53.6343981561778,-113.487643714838,"(53.6343981561778, -113.487643714838)"
220,Square Picnic Table,Wood,Aggregate,DELWOOD ROAD NW,2230,DELWOOD,WARD 07,53.5965926354316,-113.457506894926,"(53.5965926354316, -113.457506894926)"
447,Square Picnic Table,Wood,Aggregate,98 AVENUE NW,6070,CLOVERDALE,WARD 08,53.5388176339752,-113.472421085333,"(53.5388176339752, -113.472421085333)"
172,Square Picnic Table,Wood,Aggregate,105A STREET NW,5010,ALLENDALE,WARD 10,53.500614169792,-113.502773479564,"(53.500614169792, -113.502773479564)"
201,Square Picnic Table,Wood,Aggregate,GRIERSON HILL NW,1210,RIVERDALE,WARD 06,53.5404118912744,-113.484331994948,"(53.5404118912744, -113.484331994948)"
71,Square Picnic Table,Wood,Aggregate,154 STREET NW,4200,HIGH PARK,WARD 01,53.5563834145406,-113.586909151864,"(53.5563834145406, -113.586909151864)"
593,Square Picnic Table,Wood,Aggregate,25 AVENUE NW,5060,BLUE QUILL,WARD 10,53.4579917529843,-113.524676439369,"(53.4579917529843, -113.524676439369)"
209,Square Picnic Table,Wood,Aggregate,124 AVENUE NW,1100,EASTWOOD,WARD 07,53.5800413170972,-113.469606716772,"(53.5800413170972, -113.469606716772)"
877,Square Picnic Table,Composite,Metal,CHAPPELLE ROAD SW,5462,CHAPPELLE AREA,WARD 09,53.3993336065485,-113.572036035521,"(53.3993336065485, -113.572036035521)"
306,Square Picnic Table,Wood,Aggregate,HERMITAGE ROAD NW,2590,OVERLANDERS,WARD 04,53.5810179383485,-113.387490321978,"(53.5810179383485, -113.387490321978)"
93,Square Picnic Table,Wood,Aggregate,145 STREET NW,3330,PARKVIEW,WARD 01,53.5252670948686,-113.570089279994,"(53.5252670948686, -113.570089279994)"
669,Square Picnic Table,Composite,Metal,AMBLESIDE DRIVE SW,5505,AMBLESIDE,WARD 09,53.4328085687789,-113.603851136009,"(53.4328085687789, -113.603851136009)"
75,Square Picnic Table,Wood,Aggregate,153 STREET NW,4580,WEST JASPER PLACE,WARD 01,53.5335934190356,-113.584476212771,"(53.5335934190356, -113.584476212771)"
166,Square Picnic Table,Wood,Aggregate,19 AVENUE NW,5250,KEHEEWIN,WARD 10,53.4490287027619,-113.512975080757,"(53.4490287027619, -113.512975080757)"
43,Square Picnic Table,Wood,Wood,53 AVENUE NW,5380,RIVER VALLEY TERWILLEGAR,WARD 09,53.4856244331614,-113.625387662367,"(53.4856244331614, -113.625387662367)"
153,Square Picnic Table,Wood,Metal,84 AVENUE NW,5200,GARNEAU,WARD 08,53.5196205197349,-113.514269126399,"(53.5196205197349, -113.514269126399)"
230,Square Picnic Table,Wood,Aggregate,LAKEWOOD ROAD NORTH NW,6750,TIPASKAN,WARD 11,53.4625713409131,-113.460236909525,"(53.4625713409131, -113.460236909525)"
